Designator,Mid X,Mid Y,Rotation,Layer
AC1,99.8728,-121.5136,180.0,bottom
AC2,99.8728,-120.5992,180.0,bottom
AC3,102.3366,-121.5644,180.0,bottom
AC4,102.362,-120.5992,180.0,bottom
BOOT_2,145.747536,-120.295992,0.0,top
BOOT,145.747536,-120.295992,0.0,bottom
C1_2,99.4918,-116.7892,315.0,bottom
C10,96.2152,-110.7186,0.0,bottom
C11,96.2406,-112.2172,0.0,bottom
C12,113.3348,-116.8654,225.0,bottom
C13,109.1438,-120.8786,45.0,bottom
C14,105.7656,-121.7168,225.0,bottom
C15,97.9932,-116.713,315.0,bottom
C16,112.903,-110.2614,135.0,bottom
C17,99.0092,-113.03,45.0,bottom
C18,115.1382,-64.424599,90.0,bottom
C2_3,101.6,-119.126,315.0,bottom
C3_2,106.4514,-121.031,225.0,bottom
C4,99.695,-112.3442,45.0,bottom
C5,110.0328,-111.76,135.0,bottom
C6,106.1212,-108.966,135.0,bottom
C7,81.5594,-61.8744,270.0,bottom
C8,78.4606,-64.6684,0.0,bottom
C9,98.6282,-109.7534,90.0,bottom
D1,32.25,-47.1,90.0,bottom
D10,203.7,-47.1,90.0,bottom
D11,222.75,-47.1,90.0,bottom
D12,241.8,-47.1,90.0,bottom
D13,260.85,-47.1,90.0,bottom
D14,279.9,-47.1,90.0,bottom
D15,37.0125,-66.15,90.0,bottom
D16,60.825,-66.15,90.0,bottom
D17,98.925,-66.15,90.0,bottom
D18,117.975,-66.15,90.0,bottom
D19,137.025,-66.15,90.0,bottom
D2,48.71333,-44.71249,90.0,bottom
D20,156.075,-66.15,90.0,bottom
D21,175.125,-66.15,90.0,bottom
D22,194.175,-66.15,90.0,bottom
D23,213.225,-66.15,90.0,bottom
D24,232.275,-66.15,90.0,bottom
D25,251.325,-66.15,90.0,bottom
D26,269.7988,-65.7098,90.0,bottom
D27,294.1875,-66.15,90.0,bottom
D28,39.39375,-85.2,90.0,bottom
D29,122.7375,-85.2,90.0,bottom
D3,70.35,-47.1,90.0,bottom
D30,141.7875,-85.2,90.0,bottom
D31,160.8375,-85.2,90.0,bottom
D32,179.8875,-85.2,90.0,bottom
D33,198.9375,-85.2,90.0,bottom
D34,217.9875,-85.2,90.0,bottom
D35,237.0375,-85.2,90.0,bottom
D36,256.0875,-85.2,90.0,bottom
D37,287.04375,-85.2,90.0,bottom
D38,34.63125,-104.25,90.0,bottom
D39,56.0625,-104.25,90.0,bottom
D4,89.4,-47.1,90.0,bottom
D40,75.1125,-104.25,90.0,bottom
D41,94.1625,-104.25,90.0,bottom
D42,126.5174,-103.124,90.0,bottom
D43,132.2625,-104.25,90.0,bottom
D44,151.3125,-104.25,90.0,bottom
D45,171.545917,-104.622526,90.0,bottom
D46,189.4125,-104.25,90.0,bottom
D47,208.4625,-104.25,90.0,bottom
D48,227.5125,-104.25,90.0,bottom
D49,253.70625,-104.25,90.0,bottom
D5,107.15625,-47.1,90.0,bottom
D50,279.9,-104.25,90.0,bottom
